                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.508,                   0.26,                      1,                 1.5527,             0.00023233,             0.00023233,             0.00023233
                      2,                 1.1674,                   0.66,                      1,                 1.3984,             0.00046368,             0.00046368,             0.00046368
                      3,                0.96359,                   0.68,                      1,                 1.2725,              0.0006883,              0.0006883,              0.0006883
                      4,                0.86533,                    0.8,                      1,                 1.2422,             0.00068371,             0.00068371,             0.00068371
                      5,                0.79117,                   0.74,                      1,                 1.2041,             0.00067361,             0.00067361,             0.00067361
                      6,                0.72232,                   0.78,                      1,                 1.1865,             0.00066351,             0.00066351,             0.00066351
                      7,                0.66923,                   0.82,                      1,                 1.1943,             0.00065341,             0.00065341,             0.00065341
                      8,                0.69731,                   0.64,                      1,                   1.25,             0.00064331,             0.00064331,             0.00064331
                      9,                0.63349,                   0.84,                      1,                 1.1182,             0.00063322,             0.00063322,             0.00063322
                     10,                0.58818,                   0.68,                      1,                 1.2666,             0.00062312,             0.00062312,             0.00062312
                     11,                0.56115,                    0.7,                      1,                 1.2158,             0.00061302,             0.00061302,             0.00061302
                     12,                0.51869,                    0.8,                      1,                 1.1758,             0.00060292,             0.00060292,             0.00060292
                     13,                0.46885,                   0.82,                      1,                 1.1113,             0.00059282,             0.00059282,             0.00059282
                     14,                0.47363,                   0.84,                      1,                 1.1279,             0.00058273,             0.00058273,             0.00058273
                     15,                0.43408,                   0.88,                      1,                 1.0772,             0.00057263,             0.00057263,             0.00057263
                     16,                0.44031,                   0.82,                      1,                 1.1055,             0.00056253,             0.00056253,             0.00056253
                     17,                0.40735,                   0.82,                      1,                 1.1191,             0.00055243,             0.00055243,             0.00055243
                     18,                0.40914,                   0.84,                      1,                  1.084,             0.00054233,             0.00054233,             0.00054233
                     19,                0.37595,                   0.84,                      1,                 1.0772,             0.00053224,             0.00053224,             0.00053224
                     20,                0.38396,                   0.82,                      1,                 1.1113,             0.00052214,             0.00052214,             0.00052214
                     21,                 0.3364,                   0.88,                      1,                 1.0527,             0.00051204,             0.00051204,             0.00051204
                     22,                0.33323,                   0.86,                      1,                  1.085,             0.00050194,             0.00050194,             0.00050194
                     23,                 0.3128,                   0.84,                      1,                 1.0527,             0.00049184,             0.00049184,             0.00049184
                     24,                0.31844,                   0.78,                      1,                 1.1045,             0.00048175,             0.00048175,             0.00048175
                     25,                0.30288,                   0.86,                      1,                 1.0557,             0.00047165,             0.00047165,             0.00047165
                     26,                0.27849,                   0.76,                      1,                 1.1562,             0.00046155,             0.00046155,             0.00046155
                     27,                0.24829,                   0.78,                      1,                 1.1562,             0.00045145,             0.00045145,             0.00045145
                     28,                0.25691,                   0.82,                      1,                 1.0918,             0.00044135,             0.00044135,             0.00044135
                     29,                0.24926,                   0.86,                      1,                 1.0752,             0.00043126,             0.00043126,             0.00043126
                     30,                0.25039,                   0.76,                      1,                 1.1143,             0.00042116,             0.00042116,             0.00042116
                     31,                0.27399,                   0.68,                      1,                 1.1826,             0.00041106,             0.00041106,             0.00041106
                     32,                0.31764,                   0.84,                      1,                 1.0635,             0.00040096,             0.00040096,             0.00040096
                     33,                 0.2557,                   0.78,                      1,                 1.1201,             0.00039086,             0.00039086,             0.00039086
                     34,                0.19404,                    0.8,                      1,                 1.1055,             0.00038077,             0.00038077,             0.00038077
                     35,                0.31796,                   0.76,                      1,                 1.1367,             0.00037067,             0.00037067,             0.00037067
